time,score
11/30/2025 9:24:00 PM,9000
11/30/2025 10:48:04 PM,8000
11/30/2025 10:49:22 PM,2000
11/30/2025 10:51:44 PM,6
11/30/2025 10:53:21 PM,1
12/10/2025 12:35:44 PM,99000
12/10/2025 12:37:55 PM,12000
12/10/2025 12:39:39 PM,56000
12/10/2025 12:43:25 PM,68000
12/10/2025 12:43:57 PM,67000
12/10/2025 12:51:33 PM,69000
12/10/2025 12:52:00 PM,9000
12/10/2025 12:52:29 PM,10000
12/10/2025 3:34:16 PM,600
12/10/2025 3:34:59 PM,300
1/6/2026 7:06:16 PM,90
1/13/2026 8:41:10 AM,6500
1/13/2026 3:48:11 PM,9800
1/13/2026 3:49:08 PM,120
1/14/2026 10:07:30 PM,36545
1/14/2026 10:46:32 PM,10000
1/14/2026 10:49:10 PM,10000
1/14/2026 11:19:43 PM,10000
1/14/2026 11:20:47 PM,10000
1/18/2026 4:13:55 PM,10000
1/18/2026 4:20:26 PM,10000
1/18/2026 4:20:50 PM,10000
1/18/2026 4:21:27 PM,10000
1/21/2026 3:26:35 PM,10000
1/21/2026 9:16:56 PM,10000
1/21/2026 9:18:04 PM,10000
